species,taxon.type
Black-bellied Whistling-Duck,species
Fulvous Whistling-Duck,species
Ross's Goose,species
Pink-footed Goose,species
Barnacle Goose,species
Trumpeter Swan,species
Tundra Swan,species
Garganey,species
Tufted Duck,species
Steller's Eider,species
Willow Ptarmigan,species
Eared Grebe,species
Western Grebe,species
Clark's Grebe,species
Band-tailed Pigeon,species
Eurasian Collared-Dove,species
Chuck-will's-widow,species
Mexican Violetear,species
Calliope Hummingbird,species
Rufous Hummingbird,species
Broad-tailed Hummingbird,species
King Rail,species
Clapper Rail,species
Corn Crake,species
Yellow Rail,species
Black-necked Stilt,species
Northern Lapwing,species
European Golden-Plover,species
Pacific Golden-Plover,species
Common Ringed Plover,species
Wilson's Plover,species
Snowy Plover,species
Whimbrel (European),subspecies
Long-billed Curlew,species
Bar-tailed Godwit,species
Great Knot,species
Surfbird,species
Ruff,species
Curlew Sandpiper,species
Red-necked Stint,species
Dunlin (arctica),subspecies
Gray-tailed Tattler,species
Ancient Murrelet,species
Tufted Puffin,species
Ivory Gull,species
Franklin's Gull,species
Common Gull,species
Short-billed Gull,species
Iceland Gull (Thayer's),subspecies
Slaty-backed Gull,species
Sooty Tern,species
Bridled Tern,species
Gull-billed Tern,species
White-winged Tern,species
Sandwich Tern,species
Pacific Loon,species
Yellow-billed Loon,species
Yellow-nosed Albatross,species
Black-browed Albatross,species
Trindade Petrel,species
White-chinned Petrel,species
Barolo Shearwater,species
Wood Stork,species
Lesser Frigatebird,species
Magnificent Frigatebird,species
Masked Booby,species
Brown Booby,species
Red-footed Booby,species
Brown Pelican,species
Great Blue Heron (Great White),subspecies
Little Egret,species
Western Reef-Heron,species
White Ibis,species
White-faced Ibis,species
Roseate Spoonbill,species
Swallow-tailed Kite,species
Eurasian Marsh-Harrier,species
Steller's Sea-Eagle,species
Mississippi Kite,species
Great Black Hawk,species
Swainson's Hawk,species
Zone-tailed Hawk,species
Barn Owl,species
Burrowing Owl,species
Boreal Owl,species
Crested Caracara,species
Gyrfalcon,species
Ash-throated Flycatcher,species
Variegated Flycatcher,species
Tropical Kingbird,species
Gray Kingbird,species
Fork-tailed Flycatcher,species
Western Wood-Pewee,species
Acadian Flycatcher,species
Gray Flycatcher,species
Say's Phoebe,species
Vermilion Flycatcher,species
Bell's Vireo,species
Cassin's Vireo,species
Plumbeous Vireo,species
Loggerhead Shrike,species
Violet-green Swallow,species
Rock Wren,species
Sedge Wren,species
Sage Thrasher,species
Mountain Bluebird,species
Fieldfare,species
Redwing,species
Northern Wheatear,species
Common Chaffinch,species
Gray-crowned Rosy-Finch,species
Eurasian Siskin,species
Lesser Goldfinch,species
Chestnut-collared Longspur,species
Smith's Longspur,species
Cassin's Sparrow,species
Black-throated Sparrow,species
Lark Bunting,species
Brewer's Sparrow,species
Dark-eyed Junco (Oregon),subspecies
Golden-crowned Sparrow,species
Harris's Sparrow,species
LeConte's Sparrow,species
Henslow's Sparrow,species
Green-tailed Towhee,species
Western Meadowlark,species
Bullock's Oriole,species
Shiny Cowbird,species
Bronzed Cowbird,species
Brewer's Blackbird,species
Golden-winged Warbler,species
Swainson's Warbler,species
Virginia's Warbler,species
MacGillivray's Warbler,species
Kentucky Warbler,species
Kirtland's Warbler,species
Cerulean Warbler,species
Black-throated Gray Warbler,species
Townsend's Warbler,species
Hermit Warbler,species
Black-headed Grosbeak,species
Lazuli Bunting,species